"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"slp",3,"~1",,,-1.84801777992584,,0.0315602601861381,0,,,"tau",3,1,3,"High Slow Risk",2,FALSE,0,,-0.2259391157,16.8635790752,4.01649e-05,,0,,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"ene",4,"~1",,,-1.28574838450769,,0.0265623134924018,0,,,"tau",4,1,4,"High Slow Risk",2,FALSE,0,,-0.0086431033,0.0360831997,0.8493437792,,0,,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"app",5,"~1",,,-2.60150464247129,,0.0402193069176586,0,,,"tau",5,1,5,"High Slow Risk",2,FALSE,0,,-0.0256175301,0.1381980053,0.7100790513,,0,,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"glt",6,"~1",,,-3.42981113019622,,0.0540296214002986,0,,,"tau",6,1,6,"High Slow Risk",2,FALSE,0,,-0.0282110721,0.0962858888,0.7563330777,,0,,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"~1",,,-3.05346544694333,,0.0475350303012259,0,,,"tau",7,1,7,"High Slow Risk",2,FALSE,0,,-0.0347862216,0.1874202865,0.6650724198,,0,,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"mot",8,"~1",,,-3.88849571228741,,0.0651183619636505,0,,,"tau",8,1,8,"High Slow Risk",2,FALSE,0,,0.1930017448,3.4123278429,0.0647111009,,0,,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"~1",,,-5.28526849005647,,0.112925861354353,0,,,"tau",9,1,9,"High Slow Risk",2,FALSE,0,,0.0806022849,0.2325844849,0.6296140586,,0,,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"dep",2,"--","anh",1,2.11316586441429,,0.0640968066515714,2.30940729022487e-238,,,"omega",2,1,46,"High Slow Risk",2,FALSE,0.0001890853,0.9890287709,0.0002774051,0.0001890853,0.9890287709,,0.0001890853,0.9890287709,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"slp",3,"--","anh",1,0.562533940286035,,0.057781610397682,2.12729898739096e-22,,,"omega",3,1,47,"High Slow Risk",2,FALSE,4.52156e-05,0.9946348642,0.0001348705,4.52156e-05,0.9946348642,,4.52156e-05,0.9946348642,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"ene",4,"--","anh",1,1.49785435062365,,0.0553388173625232,2.41134208694838e-161,,,"omega",4,1,48,"High Slow Risk",2,FALSE,0.0001859815,0.9891191839,0.0002767455,0.0001859815,0.9891191839,,0.0001859815,0.9891191839,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"app",5,"--","anh",1,0.621878027898258,,0.0606054302134465,1.05504395888169e-24,,,"omega",5,1,49,"High Slow Risk",2,FALSE,0.0004800704,0.9825193412,0.0004466117,0.0004800704,0.9825193412,,0.0004800704,0.9825193412,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"glt",6,"--","anh",1,0.435991638503861,,0.0779476133889521,2.22674420494469e-08,,,"omega",6,1,50,"High Slow Risk",2,FALSE,6.94198e-05,0.9933522196,0.0001826508,6.94198e-05,0.9933522196,,6.94198e-05,0.9933522196,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"--","anh",1,0.493625036071947,,0.0698374865024587,1.56960861334989e-12,,,"omega",7,1,51,"High Slow Risk",2,FALSE,1.14278e-05,0.9973027536,7.17446e-05,1.14278e-05,0.9973027536,,1.14278e-05,0.9973027536,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"mot",8,"--","anh",1,0.146701054200091,,0.0821548814270346,0.074153598694935,,,"omega",8,1,52,"High Slow Risk",2,FALSE,0.0001981856,0.9887678781,0.0003214069,0.0001981856,0.9887678781,,0.0001981856,0.9887678781,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"--","anh",1,0.085670902208029,,0.131244262151687,0.51391151752051,,,"omega",9,1,53,"High Slow Risk",2,FALSE,0.0003992827,0.9840576833,0.0006255801,0.0003992827,0.9840576833,,0.0003992827,0.9840576833,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"slp",3,"--","dep",2,0.783929432197151,,0.0619297762722868,1.00577939962915e-36,,,"omega",3,2,54,"High Slow Risk",2,FALSE,6.73935e-05,0.993449954,0.0001676449,6.73935e-05,0.993449954,,6.73935e-05,0.993449954,,-Inf,Inf,FALSE,0,"free_J_equal_h"
